coddept,codmpio,codpoblado,department,municipio,refined_name_key
8,8141,8141000,ATLï¿_NTICO,CANDELARIA,candelaria
8,8296,8296000,ATLï¿_NTICO,GALAPA,galapa
8,8372,8372000,ATLï¿_NTICO,JUAN DE ACOSTA,juan de acosta
8,8421,8421000,ATLï¿_NTICO,LURUACO,luruaco
8,8433,8433000,ATLï¿_NTICO,MALAMBO,malambo
8,8436,8436000,ATLï¿_NTICO,MANATï¿_,manatï¿_
8,8520,8520000,ATLï¿_NTICO,PALMAR DE VARELA,palmar de varela
8,8549,8549000,ATLï¿_NTICO,PIOJï¿_,piojï¿_
8,8558,8558000,ATLï¿_NTICO,POLONUEVO,polonuevo
8,8560,8560000,ATLï¿_NTICO,PONEDERA,ponedera
8,8573,8573000,ATLï¿_NTICO,PUERTO COLOMBIA,puerto colombia
8,8606,8606000,ATLï¿_NTICO,REPELï¿_N,repelï¿_n
8,8634,8634000,ATLï¿_NTICO,SABANAGRANDE,sabanagrande
8,8638,8638000,ATLï¿_NTICO,SABANALARGA,sabanalarga
8,8675,8675000,ATLï¿_NTICO,SANTA LUCï¿_A,santa lucï¿_a
8,8685,8685000,ATLï¿_NTICO,SANTO TOMï¿_S,santo tomï¿_s
8,8758,8758000,ATLï¿_NTICO,SOLEDAD,soledad
8,8770,8770000,ATLï¿_NTICO,SUAN,suan
8,8832,8832000,ATLï¿_NTICO,TUBARï¿_,tubarï¿_
8,8849,8849000,ATLï¿_NTICO,USIACURï¿_,usiacuri
11,11001,11001000,"BOGOTï¿_, D. C.","BOGOTï¿_, D.C.",bogotï¿_ d.c.
13,13001,13001000,BOLï¿_VAR,CARTAGENA DE INDIAS,cartagena de indias
13,13006,13006000,BOLï¿_VAR,ACHï¿_,achï¿_
13,13030,13030000,BOLï¿_VAR,ALTOS DEL ROSARIO,altos del rosario
13,13042,13042000,BOLï¿_VAR,ARENAL,arenal
13,13052,13052000,BOLï¿_VAR,ARJONA,arjona
13,13062,13062000,BOLï¿_VAR,ARROYOHONDO,arroyohondo
13,13074,13074000,BOLï¿_VAR,BARRANCO DE LOBA,barranco de loba
13,13140,13140000,BOLï¿_VAR,CALAMAR,calamar
13,13160,13160000,BOLï¿_VAR,CANTAGALLO,cantagallo
13,13188,13188000,BOLï¿_VAR,CICUCO,cicuco
13,13212,13212000,BOLï¿_VAR,Cï¿_RDOBA,cï¿_rdoba
13,13222,13222000,BOLï¿_VAR,CLEMENCIA,clemencia
13,13244,13244000,BOLï¿_VAR,EL CARMEN DE BOLï¿_VAR,el carmen de bolï¿_var
13,13248,13248000,BOLï¿_VAR,EL GUAMO,el guamo
13,13268,13268000,BOLï¿_VAR,EL PEï¿_ï¿_N,el peï¿_ï¿_n
13,13300,13300000,BOLï¿_VAR,HATILLO DE LOBA,hatillo de loba
13,13430,13430000,BOLï¿_VAR,MAGANGUï¿_,magangu_
13,13433,13433000,BOLï¿_VAR,MAHATES,mahates
13,13440,13440000,BOLï¿_VAR,MARGARITA,margarita
13,13442,13442000,BOLï¿_VAR,MARï¿_A LA BAJA,marï¿_a la baja
13,13458,13458000,BOLï¿_VAR,MONTECRISTO,montecristo
13,13468,13468000,BOLï¿_VAR,MOMPï¿_S,mompos
13,13473,13473000,BOLï¿_VAR,MORALES,morales
13,13490,13490000,BOLï¿_VAR,NOROSï¿_,norosï¿_
13,13549,13549000,BOLï¿_VAR,PINILLOS,pinillos
13,13580,13580000,BOLï¿_VAR,REGIDOR,regidor
13,13600,13600000,BOLï¿_VAR,Rï¿_O VIEJO,rï¿_o viejo
13,13620,13620000,BOLï¿_VAR,SAN CRISTï¿_BAL,san cristobal
13,13647,13647000,BOLï¿_VAR,SAN ESTANISLAO,san estanislao
13,13650,13650000,BOLï¿_VAR,SAN FERNANDO,san fernando
13,13654,13654000,BOLï¿_VAR,SAN JACINTO,san jacinto
13,13655,13655000,BOLï¿_VAR,SAN JACINTO DEL CAUCA,san jacinto del cauca
13,13657,13657000,BOLï¿_VAR,SAN JUAN NEPOMUCENO,san juan nepomuceno
13,13667,13667000,BOLï¿_VAR,SAN MARTï¿_N DE LOBA,san martin de loba
13,13670,13670000,BOLï¿_VAR,SAN PABLO,san pablo
13,13673,13673000,BOLï¿_VAR,SANTA CATALINA,santa catalina
13,13683,13683000,BOLï¿_VAR,SANTA ROSA,santa rosa
13,13688,13688000,BOLï¿_VAR,SANTA ROSA DEL SUR,santa rosa del sur
13,13744,13744000,BOLï¿_VAR,SIMITï¿_,simitï¿_
13,13760,13760000,BOLï¿_VAR,SOPLAVIENTO,soplaviento
13,13780,13780000,BOLï¿_VAR,TALAIGUA NUEVO,talaigua nuevo
13,13810,13810000,BOLï¿_VAR,TIQUISIO,tiquisio
13,13836,13836000,BOLï¿_VAR,TURBACO,turbaco
13,13838,13838000,BOLï¿_VAR,TURBANï¿_,turbanï¿_
13,13873,13873000,BOLï¿_VAR,VILLANUEVA,villanueva
13,13894,13894000,BOLï¿_VAR,ZAMBRANO,zambrano
15,15001,15001000,BOYACï¿_,TUNJA,tunja
15,15022,15022000,BOYACï¿_,ALMEIDA,almeida
15,15047,15047000,BOYACï¿_,AQUITANIA,aquitania
15,15051,15051000,BOYACï¿_,ARCABUCO,arcabuco
15,15087,15087000,BOYACï¿_,BELï¿_N,belï¿_n
15,15090,15090000,BOYACï¿_,BERBEO,berbeo
15,15092,15092000,BOYACï¿_,BETï¿_ITIVA,betï¿_itiva
15,15097,15097000,BOYACï¿_,BOAVITA,boavita
15,15104,15104000,BOYACï¿_,BOYACï¿_,boyacï¿_
15,15106,15106000,BOYACï¿_,BRICEï¿_O,briceï¿_o
15,15109,15109000,BOYACï¿_,BUENAVISTA,buenavista
15,15114,15114000,BOYACï¿_,BUSBANZï¿_,busbanzï¿_
15,15131,15131000,BOYACï¿_,CALDAS,caldas
15,15135,15135000,BOYACï¿_,CAMPOHERMOSO,campohermoso
15,15162,15162000,BOYACï¿_,CERINZA,cerinza
15,15172,15172000,BOYACï¿_,CHINAVITA,chinavita
15,15176,15176000,BOYACï¿_,CHIQUINQUIRï¿_,chiquinquirï¿_
15,15180,15180000,BOYACï¿_,CHISCAS,chiscas
15,15183,15183000,BOYACï¿_,CHITA,chita
15,15185,15185000,BOYACï¿_,CHITARAQUE,chitaraque
15,15187,15187000,BOYACï¿_,CHIVATï¿_,chivata
15,15189,15189000,BOYACï¿_,CIï¿_NEGA,ciï¿_nega
15,15204,15204000,BOYACï¿_,Cï¿_MBITA,cï¿_mbita
15,15212,15212000,BOYACï¿_,COPER,coper
15,15215,15215000,BOYACï¿_,CORRALES,corrales
15,15218,15218000,BOYACï¿_,COVARACHï¿_A,covarachia
15,15223,15223000,BOYACï¿_,CUBARï¿_,cubarï¿_
15,15224,15224000,BOYACï¿_,CUCAITA,cucaita
15,15226,15226000,BOYACï¿_,CUï¿_TIVA,cuitiva
15,15232,15232000,BOYACï¿_,CHï¿_QUIZA,chï¿_quiza
15,15236,15236000,BOYACï¿_,CHIVOR,chivor
15,15238,15238000,BOYACï¿_,DUITAMA,duitama
15,15244,15244000,BOYACï¿_,EL COCUY,el cocuy
15,15248,15248000,BOYACï¿_,EL ESPINO,el espino
15,15272,15272000,BOYACï¿_,FIRAVITOBA,firavitoba
15,15276,15276000,BOYACï¿_,FLORESTA,floresta
15,15293,15293000,BOYACï¿_,GACHANTIVï¿_,gachantivï¿_
15,15296,15296000,BOYACï¿_,Gï¿_MEZA,gï¿_meza
15,15299,15299000,BOYACï¿_,GARAGOA,garagoa
15,15317,15317000,BOYACï¿_,GUACAMAYAS,guacamayas
15,15322,15322000,BOYACï¿_,GUATEQUE,guateque
15,15325,15325000,BOYACï¿_,GUAYATï¿_,guayatï¿_
15,15332,15332000,BOYACï¿_,Gï¿_ICï¿_N DE LA SIERRA,gï¿_icï¿_n de la sierra
15,15362,15362000,BOYACï¿_,IZA,iza
15,15367,15367000,BOYACï¿_,JENESANO,jenesano
15,15368,15368000,BOYACï¿_,JERICï¿_,jericï¿_
15,15377,15377000,BOYACï¿_,LABRANZAGRANDE,labranzagrande
15,15380,15380000,BOYACï¿_,LA CAPILLA,la capilla
15,15401,15401000,BOYACï¿_,LA VICTORIA,la victoria
15,15403,15403000,BOYACï¿_,LA UVITA,la uvita
15,15407,15407000,BOYACï¿_,VILLA DE LEYVA,villa de leyva
15,15425,15425000,BOYACï¿_,MACANAL,macanal
15,15442,15442000,BOYACï¿_,MARIPï¿_,maripï¿_
15,15455,15455000,BOYACï¿_,MIRAFLORES,miraflores
15,15464,15464000,BOYACï¿_,MONGUA,mongua
15,15466,15466000,BOYACï¿_,MONGUï¿_,mongua
15,15469,15469000,BOYACï¿_,MONIQUIRï¿_,moniquirï¿_
15,15476,15476000,BOYACï¿_,MOTAVITA,motavita
15,15480,15480000,BOYACï¿_,MUZO,muzo
15,15491,15491000,BOYACï¿_,NOBSA,nobsa
15,15494,15494000,BOYACï¿_,NUEVO COLï¿_N,nuevo colï¿_n
15,15500,15500000,BOYACï¿_,OICATï¿_,oicatï¿_
15,15507,15507000,BOYACï¿_,OTANCHE,otanche
15,15511,15511000,BOYACï¿_,PACHAVITA,pachavita
15,15514,15514000,BOYACï¿_,Pï¿_EZ,pï¿_ez
15,15516,15516000,BOYACï¿_,PAIPA,paipa
15,15518,15518000,BOYACï¿_,PAJARITO,pajarito
15,15522,15522000,BOYACï¿_,PANQUEBA,panqueba
15,15531,15531000,BOYACï¿_,PAUNA,pauna
15,15533,15533000,BOYACï¿_,PAYA,paya
15,15537,15537000,BOYACï¿_,PAZ DE Rï¿_O,paz de rï¿_o
15,15542,15542000,BOYACï¿_,PESCA,pesca
15,15550,15550000,BOYACï¿_,PISBA,pisba
15,15572,15572000,BOYACï¿_,PUERTO BOYACï¿_,puerto boyacï¿_
15,15580,15580000,BOYACï¿_,QUï¿_PAMA,quï¿_pama
15,15599,15599000,BOYACï¿_,RAMIRIQUï¿_,ramiriquï¿_
15,15600,15600000,BOYACï¿_,Rï¿_QUIRA,raquira
15,15621,15621000,BOYACï¿_,RONDï¿_N,rondï¿_n
15,15632,15632000,BOYACï¿_,SABOYï¿_,saboyï¿_
15,15638,15638000,BOYACï¿_,Sï¿_CHICA,sï¿_chica
15,15646,15646000,BOYACï¿_,SAMACï¿_,samacï¿_
15,15660,15660000,BOYACï¿_,SAN EDUARDO,san eduardo
15,15664,15664000,BOYACï¿_,SAN JOSï¿_ DE PARE,san josï¿_ de pare
15,15667,15667000,BOYACï¿_,SAN LUIS DE GACENO,san luis de gaceno
15,15673,15673000,BOYACï¿_,SAN MATEO,san mateo
15,15676,15676000,BOYACï¿_,SAN MIGUEL DE SEMA,san miguel de sema
15,15681,15681000,BOYACï¿_,SAN PABLO DE BORBUR,san pablo de borbur
