municipality,refined_name_key
Medell•À_n,medell•À_n
Mesetas,mesetas
Miraflores,miraflores
Miranda,miranda
Mistrat•À_,mistrat•À_
Mit•À_,mit•À_
Monter•À_a,monter•À_a
Mutat•À_,mutat•À_
Necocl•À_,necocl•À_
Neiva,neiva
Oca•À_a,oca•À_a
P•À_ez,p•À_ez
Pailitas,pailitas
Palmar,palmar
Paratebueno,paratebueno
Pelaya,pelaya
Pereira,pereira
Piendam•À_,piendam•À_
Pitalito,pitalito
Planadas,planadas
Pueblo Nuevo,pueblo nuevo
Pueblo Rico,pueblo rico
Puerto As•À_s,puerto as•À_s
Puerto Escondido,puerto escondido
Puerto Gait•À_n,puerto gait•À_n
Puerto Libertador,puerto libertador
Puerto L•À_pez,puerto l•À_pez
Puerto Nare,puerto nare
Puerto Parra,puerto parra
Puerto Rico,puerto rico
Puerto Salgar,puerto salgar
Puerto Triunfo,puerto triunfo
Puerto Wilches,puerto wilches
Quinchia,quinchia
Remedios,remedios
R•À_o de Oro,r•À_o de oro
Rionegro,rionegro
Riosucio,riosucio
Rivera,rivera
Roldanillo,roldanillo
Rovira,rovira
Sabana de Torres,sabana de torres
Sabanalarga,sabanalarga
Sabaneta,sabaneta
Sahag•À_n,sahag•À_n
Salgar,salgar
Sampues,sampues
San Alberto,san alberto
San Andr_s de Sotavento,san andr_s de sotavento
San Antero,san antero
San Antonio,san antonio
San Benito ,san benito
San Benito Abad,san benito abad
San Calixto,san calixto
San Carlos,san carlos
San Isidro,san isidro
San Jacinto,san jacinto
San Jer•À_nimo,san jer•À_nimo
San Jos_ del Guaviare,san jos_ del guaviare
San Juan Nepomuceno,san juan nepomuceno
San Luis,san luis
San Mart•À_n,san mart•À_n
San Pablo,san pablo
San Pablo de Borbur,san pablo de borbur
San Pedro  ,san pedro
San Pedro de los Milagros,san pedro de los milagros
San Pedro de Urab•À_,san pedro de urab•À_
San Rafael,san rafael
San Roque,san roque
San Vicente de Chucuri,san vicente de chucuri
Santa Marta,santa marta
Saravena,saravena
Segovia,segovia
Sevilla,sevilla
Silvia,silvia
Simacota,simacota
Simit•À_,simit•À_
Sincelejo,sincelejo
Soacha,soacha
Socorro,socorro
Sons•À_n,sons•À_n
Sopetr•À_n,sopetr•À_n
Sotar•À_,sotar•À_
Suaita,suaita
Suan,suan
Surat•À_,surat•À_
Tame,tame
T•À_mesis,t•À_mesis
Taraz•À_,taraz•À_
Tauramena,tauramena
Tena,tena
Tib•À_,tib•À_
Tierralta,tierralta
Tiquisio,tiquisio
T•À_querres,t•À_querres
Turbo,turbo
Ungu•À_a,ungu•À_a
Valledupar,valledupar
Valparaiso,valparaiso
Vegach•À_,vegach•À_
Vijes,vijes
Villanueva,villanueva
Villavicencio,villavicencio
Vista Hermosa,vista hermosa
Yacop•À_,yacop•À_
Yal•À_,yal•À_
Yond•À_,yond•À_
Yopal,yopal
Yumbo,yumbo
Zapatoca,zapatoca
Zarzal,zarzal
Abrego,abrego
Acac•À_as,acac•À_as
Aguada,aguada
Albania,albania
Almaguer,almaguer
Amalfi,amalfi
Antioquia,antioquia
Apartad•À_,apartad•À_
Ataco,ataco
Ayapel,ayapel
Baraya,baraya
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Becerril,becerril
Bello,bello
Beltran,beltran
Betania,betania
Betulia,betulia
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Brice•À_o,brice•À_o
Bucaramanga,bucaramanga
Buenaventura,buenaventura
Buenavista,buenavista
C•À_ceres,c•À_ceres
Caldono,caldono
Calima,calima
Caloto,caloto
Capitanejo,capitanejo
Carepa,carepa
Carmen de Viboral,carmen de viboral
Cartagena   ,cartagena
Caucasia,caucasia
Ceret_,ceret_
Cerrito,cerrito
Chaguan•À_,chaguan•À_
Chaparral,chaparral
Charta,charta
Chigorod•À_,chigorod•À_
Chipat•À_,chipat•À_
Chivolo,chivolo
Cienaga,cienaga
Cocorn•À_,cocorn•À_
Coloso,coloso
Concepci•À_n,concepci•À_n
Concordia,concordia
Coyaima,coyaima
Cubar•À_,cubar•À_
Cubarral,cubarral
Dabeiba,dabeiba
El Bagre,el bagre
El Carmen,el carmen
El Carmen de Atrato,el carmen de atrato
El Carmen de Bol•À_var,el carmen de bol•À_var
El Carmen de Chucur•À_,el carmen de chucur•À_
El Castillo,el castillo
El Cerrito,el cerrito
El Colegio,el colegio
El Copey,el copey
El Dovio,el dovio
El Paso,el paso
El Zulia,el zulia
Envigado,envigado
Florencia,florencia
Fuente de Oro,fuente de oro
Fundaci•À_n,fundaci•À_n
Granada,granada
Guaca,guaca
Guamal,guamal
Guatap_,guatap_
Guatica,guatica
Guic•À_n,guic•À_n
Hacari,hacari
Hobo,hobo
Ibague,ibague
Jambal•À_,jambal•À_
Jamund•À_,jamund•À_
La Belleza,la belleza
La Jagua de Ib•À_rico,la jagua de ib•À_rico
La Paz (Robles),la paz (robles)
La Pe•À_a,la pe•À_a
La Plata,la plata
La Sierra,la sierra
Labranzagrande,labranzagrande
Lebrija,lebrija
Lejan•À_as,lejan•À_as
Los C•À_rdobas,los c•À_rdobas
Maceo,maceo
Manizales,manizales
Mapirip•À_n,mapirip•À_n
Mar•À_a La Baja,mar•À_a la baja
Marinilla,marinilla
Mariquita,mariquita
Marsella,marsella
Medell•À_n,medell•À_n
Miranda,miranda
Mistrat•À_,mistrat•À_
Mogotes,mogotes
MonteL•À_bano,montel•À_bano
Monter•À_a,monter•À_a
Monterrey,monterrey
Morroa,morroa
Mutat•À_,mutat•À_
Natagaima,natagaima
Neiva,neiva
Oca•À_a,oca•À_a
Oporapa,oporapa
Otanche,otanche
Ovejas,ovejas
Pailitas,pailitas
Palestina,palestina
Palmar de Varela,palmar de varela
Palmira,palmira
Pamplona,pamplona
Pauna,pauna
Paz de Ariporo,paz de ariporo
Pereira,pereira
Piedecuesta,piedecuesta
Planadas,planadas
Popay•À_n,popay•À_n
Pueblo Nuevo,pueblo nuevo
Puente Nacional,puente nacional
Puerto Libertador,puerto libertador
Puerto L•À_pez,puerto l•À_pez
Puerto Nare,puerto nare
Puerto Rond•À_n,puerto rond•À_n
Puerto Tejada,puerto tejada
Puerto Wilches,puerto wilches
Purac_,purac_
Quibd•À_,quibd•À_
Quimbaya,quimbaya
Quinchia,quinchia
Remedios,remedios
Restrepo,restrepo
Rionegro,rionegro
Riosucio,riosucio
Risaralda,risaralda
Sabana de Torres,sabana de torres
Salgar,salgar
San Alberto,san alberto
San Andr_s ,san andr_s
San Andr_s de Sotavento,san andr_s de sotavento
San Bernardo,san bernardo
San Diego,san diego
San Jacinto,san jacinto
San Jer•À_nimo,san jer•À_nimo
San Juan de Arama,san juan de arama
San Mart•À_n,san mart•À_n
San Onofre,san onofre
San Roque,san roque
San Sebasti•À_n,san sebasti•À_n
San Vicente de Chucuri,san vicente de chucuri
San Vicente del Cagu•À_n,san vicente del cagu•À_n
Santa Marta,santa marta
Santa Rosa de Cabal,santa rosa de cabal
Santander de Quilichao,santander de quilichao
