codmuni,departamento,municipio,year,irv
5353,Antioquia,Hispania,2010,0.03
5360,Antioquia,Itagui,2010,0.09
5361,Antioquia,Ituango,2010,0.84
5364,Antioquia,Jardin,2010,0.1
5368,Antioquia,Jerico,2010,0.06
5376,Antioquia,La Ceja,2010,0.13
5380,Antioquia,La Estrella,2010,0.04
5390,Antioquia,La Pintada,2010,0.14
5400,Antioquia,La Union,2010,0.23
5411,Antioquia,Liborina,2010,0.13
5425,Antioquia,Maceo,2010,0.22
5440,Antioquia,Marinilla,2010,0.12
5467,Antioquia,Montebello,2010,0.18
5475,Antioquia,Murindo,2010,0.16
5480,Antioquia,Mutata,2010,0.5
5483,Antioquia,Nario,2010,0.53
5490,Antioquia,Necocli,2010,0.24
5495,Antioquia,Nechi,2010,0.47
5501,Antioquia,Olaya,2010,0.21
5541,Antioquia,Peol,2010,0.07
5543,Antioquia,Peque,2010,0.2
5576,Antioquia,Pueblorrico,2010,0.05
5579,Antioquia,Puerto Berrio,2010,0.31
5585,Antioquia,Puerto Nare,2010,0.2
5591,Antioquia,Puerto Triunfo,2010,0.15
5604,Antioquia,Remedios,2010,0.4
5607,Antioquia,Retiro,2010,0.09
5615,Antioquia,Rionegro,2010,0.12
5628,Antioquia,Sabanalarga,2010,0.21
5631,Antioquia,Sabaneta,2010,0.04
5642,Antioquia,Salgar,2010,0.25
5647,Antioquia,San Andres De Cuerquia,2010,0.38
5649,Antioquia,San Carlos,2010,0.6
5652,Antioquia,San Francisco,2010,0.74
5656,Antioquia,San Jeronimo,2010,0.1
5658,Antioquia,San Jose De La Montaa,2010,0.13
5659,Antioquia,San Juan De Uraba,2010,0.2
5660,Antioquia,San Luis,2010,0.62
5664,Antioquia,San Pedro De Los Milagros,2010,0.12
5665,Antioquia,San Pedro De Uraba,2010,0.19
5667,Antioquia,San Rafael,2010,0.4
5670,Antioquia,San Roque,2010,0.2
5674,Antioquia,San Vicente,2010,0.18
5679,Antioquia,Santa Barbara,2010,0.14
5686,Antioquia,Santa Rosa De Osos,2010,0.1
5690,Antioquia,Santo Domingo,2010,0.19
5697,Antioquia,El Santuario,2010,0.13
5736,Antioquia,Segovia,2010,0.34
5756,Antioquia,Sonson,2010,0.41
5761,Antioquia,Sopetran,2010,0.13
5789,Antioquia,Tamesis,2010,0.12
5790,Antioquia,Taraza,2010,0.82
5792,Antioquia,Tarso,2010,0.05
5809,Antioquia,Titiribi,2010,0.02
5819,Antioquia,Toledo,2010,0.21
5837,Antioquia,Turbo,2010,0.41
5842,Antioquia,Uramita,2010,0.35
5847,Antioquia,Urrao,2010,0.34
5854,Antioquia,Valdivia,2010,0.82
5856,Antioquia,Valparaiso,2010,0.18
5858,Antioquia,Vegachi,2010,0.26
5861,Antioquia,Venecia,2010,0.07
5873,Antioquia,Vigia Del Fuerte,2010,0.3
5885,Antioquia,Yali,2010,0.3
5887,Antioquia,Yarumal,2010,0.37
5890,Antioquia,Yolombo,2010,0.17
5893,Antioquia,Yondo,2010,0.41
5895,Antioquia,Zaragoza,2010,0.56
8001,Atlantico,Barranquilla,2010,0.12
8078,Atlantico,Baranoa,2010,0.08
8137,Atlantico,Campo De La Cruz,2010,0.11
8141,Atlantico,Candelaria,2010,0.07
8296,Atlantico,Galapa,2010,0.13
8372,Atlantico,Juan De Acosta,2010,0.09
8421,Atlantico,Luruaco,2010,0.14
8433,Atlantico,Malambo,2010,0.14
8436,Atlantico,Manati,2010,0.05
8520,Atlantico,Palmar De Varela,2010,0.06
8549,Atlantico,Piojo,2010,0.07
8558,Atlantico,Polonuevo,2010,0.05
8560,Atlantico,Ponedera,2010,0.11
8573,Atlantico,Puerto Colombia,2010,0.07
8606,Atlantico,Repelon,2010,0.1
8634,Atlantico,Sabanagrande,2010,0.11
8638,Atlantico,Sabanalarga,2010,0.13
8675,Atlantico,Santa Lucia,2010,0.08
8685,Atlantico,Santo Tomas,2010,0.1
8758,Atlantico,Soledad,2010,0.14
8770,Atlantico,Suan,2010,0.09
8832,Atlantico,Tubara,2010,0.12
8849,Atlantico,Usiacuri,2010,0.08
11001,"Bogota, D,C,","Bogota, D,C,",2010,0.11
13001,Bolivar,Cartagena,2010,0.15
13006,Bolivar,Achi,2010,0.11
13030,Bolivar,Altos Del Rosario,2010,0.19
13042,Bolivar,Arenal,2010,0.29
13052,Bolivar,Arjona,2010,0.15
13062,Bolivar,Arroyohondo,2010,0.09
13074,Bolivar,Barranco De Loba,2010,0.3
13140,Bolivar,Calamar,2010,0.14
13160,Bolivar,Cantagallo,2010,0.55
13188,Bolivar,Cicuco,2010,0.07
13212,Bolivar,Cordoba,2010,0.24
13222,Bolivar,Clemencia,2010,0.16
13244,Bolivar,El Carmen De Bolivar,2010,0.4
13248,Bolivar,El Guamo,2010,0.2
13268,Bolivar,El Peon,2010,0.11
13300,Bolivar,Hatillo De Loba,2010,0.09
13430,Bolivar,Magangue,2010,0.15
13433,Bolivar,Mahates,2010,0.12
13440,Bolivar,Margarita,2010,0.03
13442,Bolivar,Maria La Baja,2010,0.25
13458,Bolivar,Montecristo,2010,0.43
13468,Bolivar,Mompos,2010,0.11
13473,Bolivar,Morales,2010,0.37
13490,Bolivar,Norosi,2010,0.12
13549,Bolivar,Pinillos,2010,0.1
13580,Bolivar,Regidor,2010,0.15
13600,Bolivar,Rio Viejo,2010,0.21
13620,Bolivar,San Cristobal,2010,0.07
13647,Bolivar,San Estanislao,2010,0.11
13650,Bolivar,San Fernando,2010,0.04
13654,Bolivar,San Jacinto,2010,0.3
13655,Bolivar,San Jacinto Del Cauca,2010,0.14
13657,Bolivar,San Juan Nepomuceno,2010,0.28
13667,Bolivar,San Martin De Loba,2010,0.23
13670,Bolivar,San Pablo,2010,0.68
13673,Bolivar,Santa Catalina,2010,0.16
13683,Bolivar,Santa Rosa,2010,0.32
13688,Bolivar,Santa Rosa Del Sur,2010,0.51
13744,Bolivar,Simiti,2010,0.6
13760,Bolivar,Soplaviento,2010,0.05
13780,Bolivar,Talaigua Nuevo,2010,0.08
13810,Bolivar,Tiquisio,2010,0.26
13836,Bolivar,Turbaco,2010,0.14
13838,Bolivar,Turbana,2010,0.15
13873,Bolivar,Villanueva,2010,0.18
13894,Bolivar,Zambrano,2010,0.31
15001,Boyaca,Tunja,2010,0.06
15022,Boyaca,Almeida,2010,0.04
15047,Boyaca,Aquitania,2010,0.09
15051,Boyaca,Arcabuco,2010,0.03
15087,Boyaca,Belen,2010,0.02
15090,Boyaca,Berbeo,2010,0.05
15092,Boyaca,Beteitiva,2010,0.03
15097,Boyaca,Boavita,2010,0.01
15104,Boyaca,Boyaca,2010,0.02
15106,Boyaca,Briceo,2010,0.01
15109,Boyaca,Buenavista,2010,0.04
15114,Boyaca,Busbanza,2010,0.0
15131,Boyaca,Caldas,2010,0.03
15135,Boyaca,Campohermoso,2010,0.11
15162,Boyaca,Cerinza,2010,0.01
15172,Boyaca,Chinavita,2010,0.0
15176,Boyaca,Chiquinquira,2010,0.1
15180,Boyaca,Chiscas,2010,0.03
15183,Boyaca,Chita,2010,0.13
15185,Boyaca,Chitaraque,2010,0.04
15187,Boyaca,Chivata,2010,0.04
15189,Boyaca,Cienega,2010,0.0
15204,Boyaca,Combita,2010,0.01
15212,Boyaca,Coper,2010,0.02
15215,Boyaca,Corrales,2010,0.03
15218,Boyaca,Covarachia,2010,0.08
15223,Boyaca,Cubara,2010,0.23
15224,Boyaca,Cucaita,2010,0.03
15226,Boyaca,Cuitiva,2010,0.01
15232,Boyaca,Chiquiza,2010,0.05
15236,Boyaca,Chivor,2010,0.09
15238,Boyaca,Duitama,2010,0.11
15244,Boyaca,El Cocuy,2010,0.04
15248,Boyaca,El Espino,2010,0.01
15272,Boyaca,Firavitoba,2010,0.0
15276,Boyaca,Floresta,2010,0.01
15293,Boyaca,Gachantiva,2010,0.0
15296,Boyaca,Gameza,2010,0.04
15299,Boyaca,Garagoa,2010,0.05
15317,Boyaca,Guacamayas,2010,0.0
15322,Boyaca,Guateque,2010,0.03
15325,Boyaca,Guayata,2010,0.0
15332,Boyaca,Guican,2010,0.08
15362,Boyaca,Iza,2010,0.0
15367,Boyaca,Jenesano,2010,0.03
15368,Boyaca,Jerico,2010,0.08
15377,Boyaca,Labranzagrande,2010,0.21
15380,Boyaca,La Capilla,2010,0.0
15401,Boyaca,La Victoria,2010,0.04
15403,Boyaca,La Uvita,2010,0.03
15407,Boyaca,Villa De Leyva,2010,0.03
15425,Boyaca,Macanal,2010,0.02
15442,Boyaca,Maripi,2010,0.08
15455,Boyaca,Miraflores,2010,0.1
15464,Boyaca,Mongua,2010,0.06
15466,Boyaca,Mongui,2010,0.01
15469,Boyaca,Moniquira,2010,0.05
15476,Boyaca,Motavita,2010,0.03
15480,Boyaca,Muzo,2010,0.11
15491,Boyaca,Nobsa,2010,0.03
15494,Boyaca,Nuevo Colon,2010,0.02
15500,Boyaca,Oicata,2010,0.02
15507,Boyaca,Otanche,2010,0.14
15511,Boyaca,Pachavita,2010,0.01
15514,Boyaca,Paez,2010,0.08
15516,Boyaca,Paipa,2010,0.04
15518,Boyaca,Pajarito,2010,0.28
15522,Boyaca,Panqueba,2010,0.0
15531,Boyaca,Pauna,2010,0.11
15533,Boyaca,Paya,2010,0.2
15537,Boyaca,Paz De Rio,2010,0.02
15542,Boyaca,Pesca,2010,0.04
15550,Boyaca,Pisba,2010,0.41
15572,Boyaca,Puerto Boyaca,2010,0.22
15580,Boyaca,Quipama,2010,0.09
15599,Boyaca,Ramiriqui,2010,0.04
15600,Boyaca,Raquira,2010,0.05
15621,Boyaca,Rondon,2010,0.01
15632,Boyaca,Saboya,2010,0.05
15638,Boyaca,Sachica,2010,0.07
15646,Boyaca,Samaca,2010,0.06
15660,Boyaca,San Eduardo,2010,0.06
15664,Boyaca,San Jose De Pare,2010,0.04
15667,Boyac,San Luis de Gaceno,2010,0.1
15673,Boyaca,San Mateo,2010,0.03
15676,Boyaca,San Miguel De Sema,2010,0.02
15681,Boyaca,San Pablo De Borbur,2010,0.15
15686,Boyaca,Santana,2010,0.05
15690,Boyaca,Santa Maria,2010,0.06
15693,Boyaca,Santa Rosa De Viterbo,2010,0.01
15696,Boyaca,Santa Sofia,2010,0.0
15720,Boyaca,Sativanorte,2010,0.04
15723,Boyaca,Sativasur,2010,0.0
15740,Boyaca,Siachoque,2010,0.05
15753,Boyaca,Soata,2010,0.03
15755,Boyaca,Socota,2010,0.18
15757,Boyaca,Socha,2010,0.06
15759,Boyaca,Sogamoso,2010,0.07
15761,Boyaca,Somondoco,2010,0.01
15762,Boyaca,Sora,2010,0.03
15763,Boyaca,Sotaquira,2010,0.03
15764,Boyaca,Soraca,2010,0.05
15774,Boyaca,Susacon,2010,0.06
15776,Boyaca,Sutamarchan,2010,0.04
15778,Boyaca,Sutatenza,2010,0.01
15790,Boyaca,Tasco,2010,0.04
15798,Boyaca,Tenza,2010,0.0
15804,Boyaca,Tibana,2010,0.01
15806,Boyaca,Tibasosa,2010,0.07
15808,Boyaca,Tinjaca,2010,0.03
15810,Boyaca,Tipacoque,2010,0.01
15814,Boyaca,Toca,2010,0.03
15816,Boyaca,Togui,2010,0.04
15820,Boyaca,Topaga,2010,0.02
15822,Boyaca,Tota,2010,0.01
15832,Boyaca,Tunungua,2010,0.02
15835,Boyaca,Turmeque,2010,0.0
15837,Boyaca,Tuta,2010,0.02
15839,Boyaca,Tutaza,2010,0.03
15842,Boyaca,Umbita,2010,0.04
15861,Boyaca,Ventaquemada,2010,0.09
15879,Boyaca,Viracacha,2010,0.02
15897,Boyaca,Zetaquira,2010,0.04
17001,Caldas,Manizales,2010,0.07
17013,Caldas,Aguadas,2010,0.18
17042,Caldas,Anserma,2010,0.18
17050,Caldas,Aranzazu,2010,0.06
17088,Caldas,Belalcazar,2010,0.07
17174,Caldas,Chinchina,2010,0.09
17272,Caldas,Filadelfia,2010,0.1
17380,Caldas,La Dorada,2010,0.14
17388,Caldas,La Merced,2010,0.11
17433,Caldas,Manzanares,2010,0.21
17442,Caldas,Marmato,2010,0.12
17444,Caldas,Marquetalia,2010,0.15
17446,Caldas,Marulanda,2010,0.46
17486,Caldas,Neira,2010,0.07
17495,Caldas,Norcasia,2010,0.31
17513,Caldas,Pacora,2010,0.11
17524,Caldas,Palestina,2010,0.09
17541,Caldas,Pensilvania,2010,0.34
17614,Caldas,Riosucio,2010,0.18
17616,Caldas,Risaralda,2010,0.07
17653,Caldas,Salamina,2010,0.2
17662,Caldas,Samana,2010,0.63
17665,Caldas,San Jose,2010,0.07
17777,Caldas,Supia,2010,0.12
17867,Caldas,Victoria,2010,0.1
17873,Caldas,Villamaria,2010,0.08
17877,Caldas,Viterbo,2010,0.03
18001,Caqueta,Florencia,2010,0.4
18029,Caqueta,Albania,2010,0.38
18094,Caqueta,Belen De Los Andaquies,2010,0.44
18150,Caqueta,Cartagena Del Chaira,2010,0.63
18205,Caqueta,Curillo,2010,0.58
18247,Caqueta,El Doncello,2010,0.45
18256,Caqueta,El Paujil,2010,0.58
18410,Caqueta,La Montaita,2010,0.78
18460,Caqueta,Milan,2010,0.67
18479,Caqueta,Morelia,2010,0.4
18592,Caqueta,Puerto Rico,2010,0.64
18610,Caqueta,San Jose Del Fragua,2010,0.63
18753,Caqueta,San Vicente Del Caguan,2010,0.7
18756,Caqueta,Solano,2010,0.5
18785,Caqueta,Solita,2010,0.55
18860,Caqueta,Valparaiso,2010,0.49
19001,Cauca,Popayan,2010,0.17
19022,Cauca,Almaguer,2010,0.19
19050,Cauca,Argelia,2010,0.61
19075,Cauca,Balboa,2010,0.35
19100,Cauca,Bolivar,2010,0.29
19110,Cauca,Buenos Aires,2010,0.26
19130,Cauca,Cajibio,2010,0.28
19137,Cauca,Caldono,2010,0.34
19142,Cauca,Caloto,2010,0.51
19212,Cauca,Corinto,2010,0.42
19256,Cauca,El Tambo,2010,0.57
19290,Cauca,Florencia,2010,0.25
19300,Cauca,Guachene,2010,0.06
19318,Cauca,Guapi,2010,0.41
19355,Cauca,Inza,2010,0.2
19364,Cauca,Jambalo,2010,0.36
19392,Cauca,La Sierra,2010,0.25
19397,Cauca,La Vega,2010,0.19
19418,Cauca,Lopez,2010,0.37
19450,Cauca,Mercaderes,2010,0.27
19455,Cauca,Miranda,2010,0.29
19473,Cauca,Morales,2010,0.3
19513,Cauca,Padilla,2010,0.1
19517,Cauca,Paez,2010,0.28
19532,Cauca,Patia,2010,0.5
19533,Cauca,Piamonte,2010,0.62
19548,Cauca,Piendamo,2010,0.23
19573,Cauca,Puerto Tejada,2010,0.17
19585,Cauca,Purace,2010,0.24
19622,Cauca,Rosas,2010,0.15
19693,Cauca,San Sebastian,2010,0.19
19698,Cauca,Santander De Quilichao,2010,0.29
19701,Cauca,Santa Rosa,2010,0.34
19743,Cauca,Silvia,2010,0.19
19760,Cauca,Sotara,2010,0.16
19780,Cauca,Suarez,2010,0.21
19785,Cauca,Sucre,2010,0.18
19807,Cauca,Timbio,2010,0.21
19809,Cauca,Timbiqui,2010,0.39
19821,Cauca,Toribio,2010,0.52
19824,Cauca,Totoro,2010,0.19
19845,Cauca,Villa Rica,2010,0.11
20001,Cesar,Valledupar,2010,0.27
20011,Cesar,Aguachica,2010,0.28
20013,Cesar,Agustin Codazzi,2010,0.32
20032,Cesar,Astrea,2010,0.14
20045,Cesar,Becerril,2010,0.27
20060,Cesar,Bosconia,2010,0.16
20175,Cesar,Chimichagua,2010,0.2
20178,Cesar,Chiriguana,2010,0.18
20228,Cesar,Curumani,2010,0.33
20238,Cesar,El Copey,2010,0.27
20250,Cesar,El Paso,2010,0.18
20295,Cesar,Gamarra,2010,0.15
20310,Cesar,Gonzalez,2010,0.13
20383,Cesar,La Gloria,2010,0.2
20400,Cesar,La Jagua De Ibirico,2010,0.29
20443,Cesar,Manaure,2010,0.23
20517,Cesar,Pailitas,2010,0.23
20550,Cesar,Pelaya,2010,0.33
20570,Cesar,Pueblo Bello,2010,0.31
20614,Cesar,Rio De Oro,2010,0.17
20621,Cesar,La Paz,2010,0.3
20710,Cesar,San Alberto,2010,0.24
20750,Cesar,San Diego,2010,0.28
20770,Cesar,San Martin,2010,0.18
20787,Cesar,Tamalameque,2010,0.21
23001,Cordoba,Monteria,2010,0.17
23068,Cordoba,Ayapel,2010,0.1
23079,Cordoba,Buenavista,2010,0.19
23090,Cordoba,Canalete,2010,0.13
23162,Cordoba,Cerete,2010,0.12
23168,Cordoba,Chima,2010,0.1
23182,Cordoba,Chinu,2010,0.14
23189,Cordoba,Cienaga De Oro,2010,0.11
23300,Cordoba,Cotorra,2010,0.18
23350,Cordoba,La Apartada,2010,0.17
23417,Cordoba,Lorica,2010,0.16
23419,Cordoba,Los Cordobas,2010,0.12
23464,Cordoba,Momil,2010,0.14
23466,Cordoba,Montelibano,2010,0.41
23500,Cordoba,Moitos,2010,0.15
23555,Cordoba,Planeta Rica,2010,0.2
23570,Cordoba,Pueblo Nuevo,2010,0.16
23574,Cordoba,Puerto Escondido,2010,0.14
23580,Cordoba,Puerto Libertador,2010,0.73
23586,Cordoba,Purisima,2010,0.12
23660,Cordoba,Sahagun,2010,0.11
23670,Cordoba,San Andres Sotavento,2010,0.12
23672,Cordoba,San Antero,2010,0.24
23675,Cordoba,San Bernardo Del Viento,2010,0.15
23678,Cordoba,San Carlos,2010,0.1
23682,Cordoba,San Jose de Ure,2010,0.25
23686,Cordoba,San Pelayo,2010,0.13
23807,Cordoba,Tierralta,2010,0.55
23815,Cordoba,Tuchin,2010,0.03
23855,Cordoba,Valencia,2010,0.31
25001,Cundinamarca,Agua De Dios,2010,0.02
25019,Cundinamarca,Alban,2010,0.04
25035,Cundinamarca,Anapoima,2010,0.05
25040,Cundinamarca,Anolaima,2010,0.03
25053,Cundinamarca,Arbelaez,2010,0.12
25086,Cundinamarca,Beltran,2010,0.03
25095,Cundinamarca,Bituima,2010,0.06
25099,Cundinamarca,Bojaca,2010,0.06
25120,Cundinamarca,Cabrera,2010,0.31
25123,Cundinamarca,Cachipay,2010,0.05
25126,Cundinamarca,Cajica,2010,0.05
25148,Cundinamarca,Caparrapi,2010,0.19
25151,Cundinamarca,Caqueza,2010,0.04
25154,Cundinamarca,Carmen De Carupa,2010,0.0
25168,Cundinamarca,Chaguani,2010,0.1
25175,Cundinamarca,Chia,2010,0.04
25178,Cundinamarca,Chipaque,2010,0.02
25181,Cundinamarca,Choachi,2010,0.02
25183,Cundinamarca,Choconta,2010,0.04
25200,Cundinamarca,Cogua,2010,0.05
25214,Cundinamarca,Cota,2010,0.05
25224,Cundinamarca,Cucunuba,2010,0.03
25245,Cundinamarca,El Colegio,2010,0.06
25258,Cundinamarca,El Peon,2010,0.09
25260,Cundinamarca,El Rosal,2010,0.08
25269,Cundinamarca,Facatativa,2010,0.09
25279,Cundinamarca,Fomeque,2010,0.07
25281,Cundinamarca,Fosca,2010,0.02
25286,Cundinamarca,Funza,2010,0.06
25288,Cundinamarca,Fuquene,2010,0.02
25290,Cundinamarca,Fusagasuga,2010,0.11
25293,Cundinamarca,Gachala,2010,0.08
25295,Cundinamarca,Gachancipa,2010,0.05
25297,Cundinamarca,Gacheta,2010,0.04
25299,Cundinamarca,Gama,2010,0.0
25307,Cundinamarca,Girardot,2010,0.07
25312,Cundinamarca,Granada,2010,0.11
25317,Cundinamarca,Guacheta,2010,0.03
25320,Cundinamarca,Guaduas,2010,0.12
25322,Cundinamarca,Guasca,2010,0.03
25324,Cundinamarca,Guataqui,2010,0.03
25326,Cundinamarca,Guatavita,2010,0.03
25328,Cundinamarca,Guayabal De Siquima,2010,0.09
25335,Cundinamarca,Guayabetal,2010,0.09
25339,Cundinamarca,Gutierrez,2010,0.12
25368,Cundinamarca,Jerusalen,2010,0.0
25372,Cundinamarca,Junin,2010,0.03
25377,Cundinamarca,La Calera,2010,0.02
25386,Cundinamarca,La Mesa,2010,0.05
25394,Cundinamarca,La Palma,2010,0.15
25398,Cundinamarca,La Pea,2010,0.03
25402,Cundinamarca,La Vega,2010,0.04
25407,Cundinamarca,Lenguazaque,2010,0.03
25426,Cundinamarca,Macheta,2010,0.02
25430,Cundinamarca,Madrid,2010,0.1
25436,Cundinamarca,Manta,2010,0.03
25438,Cundinamarca,Medina,2010,0.28
25473,Cundinamarca,Mosquera,2010,0.1
25483,Cundinamarca,Nario,2010,0.05
25486,Cundinamarca,Nemocon,2010,0.04
25488,Cundinamarca,Nilo,2010,0.02
25489,Cundinamarca,Nimaima,2010,0.07
25491,Cundinamarca,Nocaima,2010,0.01
25506,Cundinamarca,Venecia,2010,0.1
25513,Cundinamarca,Pacho,2010,0.11
25518,Cundinamarca,Paime,2010,0.07
25524,Cundinamarca,Pandi,2010,0.11
25530,Cundinamarca,Paratebueno,2010,0.24
25535,Cundinamarca,Pasca,2010,0.11
25572,Cundinamarca,Puerto Salgar,2010,0.16
25580,Cundinamarca,Puli,2010,0.07
25592,Cundinamarca,Quebradanegra,2010,0.03
25594,Cundinamarca,Quetame,2010,0.05
25596,Cundinamarca,Quipile,2010,0.11
25599,Cundinamarca,Apulo,2010,0.04
25612,Cundinamarca,Ricaurte,2010,0.08
25645,Cundinamarca,San Antonio Del Tequendama,2010,0.08
25649,Cundinamarca,San Bernardo,2010,0.09
25653,Cundinamarca,San Cayetano,2010,0.05
25658,Cundinamarca,San Francisco,2010,0.08
25662,Cundinamarca,San Juan De Rio Seco,2010,0.18
25718,Cundinamarca,Sasaima,2010,0.04
25736,Cundinamarca,Sesquile,2010,0.03
25740,Cundinamarca,Sibate,2010,0.05
25743,Cundinamarca,Silvania,2010,0.12
25745,Cundinamarca,Simijaca,2010,0.02
25754,Cundinamarca,Soacha,2010,0.11
25758,Cundinamarca,Sopo,2010,0.03
25769,Cundinamarca,Subachoque,2010,0.03
25772,Cundinamarca,Suesca,2010,0.05
25777,Cundinamarca,Supata,2010,0.03
25779,Cundinamarca,Susa,2010,0.03
25781,Cundinamarca,Sutatausa,2010,0.02
25785,Cundinamarca,Tabio,2010,0.04
25793,Cundinamarca,Tausa,2010,0.02
25797,Cundinamarca,Tena,2010,0.05
25799,Cundinamarca,Tenjo,2010,0.05
25805,Cundinamarca,Tibacuy,2010,0.12
25807,Cundinamarca,Tibirita,2010,0.0
25815,Cundinamarca,Tocaima,2010,0.04
25817,Cundinamarca,Tocancipa,2010,0.06
25823,Cundinamarca,Topaipi,2010,0.14
25839,Cundinamarca,Ubala,2010,0.18
25841,Cundinamarca,Ubaque,2010,0.03
25843,Cundinamarca,Villa De San Diego De Ubate,2010,0.06
25845,Cundinamarca,Une,2010,0.07
25851,Cundinamarca,Utica,2010,0.08
25862,Cundinamarca,Vergara,2010,0.08
25867,Cundinamarca,Viani,2010,0.04
25871,Cundinamarca,Villagomez,2010,0.03
25873,Cundinamarca,Villapinzon,2010,0.05
25875,Cundinamarca,Villeta,2010,0.15
25878,Cundinamarca,Viota,2010,0.18
25885,Cundinamarca,Yacopi,2010,0.17
25898,Cundinamarca,Zipacon,2010,0.01
25899,Cundinamarca,Zipaquira,2010,0.08
27001,Choco,Quibdo,2010,0.45
27006,Choco,Acandi,2010,0.22
27025,Choco,Alto Baudo,2010,0.4
27050,Choco,Atrato,2010,0.11
27073,Choco,Bagado,2010,0.3
27075,Choco,Bahia Solano,2010,0.18
27077,Choco,Bajo Baudo,2010,0.45
27099,Choco,Bojaya,2010,0.37
27135,Choco,El Canton Del San Pablo,2010,0.22
27150,Choco,Carmen Del Darien,2010,0.34
27160,Choco,Certegui,2010,0.12
27205,Choco,Condoto,2010,0.21
27245,Choco,El Carmen De Atrato,2010,0.26
27250,Choco,El Litoral Del San Juan,2010,0.33
27361,Choco,Istmina,2010,0.5
27372,Choco,Jurado,2010,0.32
27413,Choco,Lloro,2010,0.16
27425,Choco,Medio Atrato,2010,0.27
27430,Choco,Medio Baudo,2010,0.29
27450,Choco,Medio San Juan,2010,0.29
27491,Choco,Novita,2010,0.39
27495,Choco,Nuqui,2010,0.25
27580,Choco,Rio Iro,2010,0.21
27600,Choco,Rio Quito,2010,0.15
27615,Choco,Riosucio,2010,0.35
27660,Choco,San Jose Del Palmar,2010,0.55
27745,Choco,Sipi,2010,0.44
27787,Choco,Tado,2010,0.38
27800,Choco,Unguia,2010,0.3
27810,Choco,Union Panamericana,2010,0.15
41001,Huila,Neiva,2010,0.24
41006,Huila,Acevedo,2010,0.27
41013,Huila,Agrado,2010,0.14
41016,Huila,Aipe,2010,0.17
41020,Huila,Algeciras,2010,0.54
41026,Huila,Altamira,2010,0.09
41078,Huila,Baraya,2010,0.46
41132,Huila,Campoalegre,2010,0.32
41206,Huila,Colombia,2010,0.49
41244,Huila,Elias,2010,0.08
41298,Huila,Garzon,2010,0.26
41306,Huila,Gigante,2010,0.18
41319,Huila,Guadalupe,2010,0.12
41349,Huila,Hobo,2010,0.26
41357,Huila,Iquira,2010,0.24
41359,Huila,Isnos,2010,0.29
41378,Huila,La Argentina,2010,0.14
41396,Huila,La Plata,2010,0.24
41483,Huila,Nataga,2010,0.21
41503,Huila,Oporapa,2010,0.18
41518,Huila,Paicol,2010,0.07
41524,Huila,Palermo,2010,0.21
41530,Huila,Palestina,2010,0.16
41548,Huila,Pital,2010,0.16
41551,Huila,Pitalito,2010,0.23
